paperId,year,outDegree,inDegree
4211,2000,12,0
4213,2000,20,27
4216,2000,20,0
4229,2000,17,1
4236,2000,2,1
4239,2000,19,0
4240,2000,13,0
4241,2000,4,9
4247,2000,24,22
4248,2000,7,1
4251,2000,20,7
4252,2000,2,3
4257,2000,6,2
4262,2000,28,8
4265,2000,6,0
5003,2000,10,7
5006,2000,12,29
5013,2000,22,3
5019,2000,34,6
5020,2000,55,7
5024,2000,33,21
5025,2000,142,12
5026,2000,6,1
5027,2000,59,16
5028,2000,15,10
5029,2000,0,5
5038,2000,9,6
5043,2000,9,8
5044,2000,3,2
5048,2000,3,0
5049,2000,21,12
5059,2000,9,2
5060,2000,2,3
5062,2000,1,0
5066,2000,19,11
5068,2000,6,0
5069,2000,13,4
5071,2000,16,0
5077,2000,7,4
5080,2000,37,17
5082,2000,19,4
5084,2000,24,11
5088,2000,2,0
5092,2000,8,0
5093,2000,32,2
5096,2000,42,1
5101,2000,11,3
5102,2000,3,0
5106,2000,18,6
5112,2000,20,1
5113,2000,4,1
5114,2000,118,10
5115,2000,10,1
5118,2000,26,4
5120,2000,0,4
5121,2000,8,1
5122,2000,36,3
5131,2000,10,3
5133,2000,12,3
5140,2000,15,2
5141,2000,19,2
5143,2000,3,0
5144,2000,11,10
5146,2000,7,2
5149,2000,15,2
5152,2000,14,24
5155,2000,3,4
5159,2000,57,7
5164,2000,12,3
5172,2000,6,8
5177,2000,13,2
5180,2000,7,0
5181,2000,5,8
5183,2000,8,8
5184,2000,8,0
5188,2000,6,2
5189,2000,32,24
5190,2000,16,6
5195,2000,7,0
5196,2000,18,3
5208,2000,12,16
5210,2000,22,7
5213,2000,3,3
5214,2000,21,1
5218,2000,36,9
5219,2000,4,1
5225,2000,10,9
5227,2000,31,2
5228,2000,12,20
5231,2000,10,0
5233,2000,31,2
5240,2000,7,1
5241,2000,3,2
5248,2000,2,10
5251,2000,5,2
5252,2000,16,0
5260,2000,35,5
5262,2000,22,11
5268,2000,8,0
5272,2000,10,1
5276,2000,28,9
5281,2000,8,2
5283,2000,7,1
5284,2000,2,1
5297,2000,12,15
5299,2000,3,1
5302,2000,10,2
5303,2000,45,8
5306,2000,17,2
5313,2000,8,4
5318,2000,35,5
5322,2000,11,1
6001,2000,17,24
6002,2000,54,0
6004,2000,7,2
6005,2000,8,16
6007,2000,12,4
6012,2000,6,0
6013,2000,4,0
6014,2000,6,3
6021,2000,6,1
6022,2000,14,30
6024,2000,0,3
6032,2000,97,9
6045,2000,24,16
6050,2000,5,4
6053,2000,7,0
6059,2000,26,7
6063,2000,16,2
6069,2000,4,4
6073,2000,8,2
6080,2000,2,2
6096,2000,25,11
6098,2000,38,1
6104,2000,23,4
6119,2000,52,24
6120,2000,10,1
6124,2000,48,81
6136,2000,22,10
6140,2000,27,0
6144,2000,22,0
6145,2000,19,7
6146,2000,13,18
6154,2000,27,17
6155,2000,3,0
6156,2000,3,7
6163,2000,3,2
6170,2000,18,0
6173,2000,31,4
6174,2000,10,1
6175,2000,18,7
6177,2000,25,2
6178,2000,3,1
6181,2000,3,2
6186,2000,4,0
6189,2000,3,1
6190,2000,20,0
6192,2000,7,10
6205,2000,7,6
6206,2000,12,1
6207,2000,9,0
6209,2000,4,0
6214,2000,6,0
6221,2000,19,0
6227,2000,5,2
6233,2000,23,15
6237,2000,14,7
6238,2000,12,6
6240,2000,10,10
6245,2000,8,0
6246,2000,1,1
6249,2000,5,0
6250,2000,9,12
6253,2000,37,1
6267,2000,25,2
6271,2000,23,4
6273,2000,8,4
6278,2000,6,5
6280,2000,30,4
6282,2000,11,0
6292,2000,23,1
6294,2000,9,0
6297,2000,3,0
6304,2000,10,7
6306,2000,5,6
6307,2000,21,15
6311,2000,9,8
6312,2000,13,6
6321,2000,12,16
6322,2000,11,0
6335,2000,5,2
6342,2000,19,2
6346,2000,8,6
6351,2000,25,14
6353,2000,16,0
7003,2000,16,6
7009,2000,9,4
7014,2000,12,1
7016,2000,27,4
7020,2000,5,2
7024,2000,1,3
7030,2000,5,0
7034,2000,10,7
7037,2000,7,1
7038,2000,8,17
7039,2000,9,0
7041,2000,39,8
7042,2000,20,0
7046,2000,35,1
7055,2000,24,4
7056,2000,11,6
7058,2000,13,2
7068,2000,27,26
7082,2000,12,9
7083,2000,16,8
7085,2000,21,15
7086,2000,19,3
7091,2000,27,19
7092,2000,36,2
7101,2000,21,9
7107,2000,18,11
7108,2000,21,23
7129,2000,21,11
7131,2000,12,3
7132,2000,6,0
7137,2000,18,2
7139,2000,28,0
7159,2000,8,4
7162,2000,17,7
7165,2000,25,1
7170,2000,9,5
7173,2000,4,1
7176,2000,23,17
7180,2000,31,2
7182,2000,18,26
7184,2000,11,2
7192,2000,14,26
7196,2000,16,20
7197,2000,25,20
7200,2000,7,0
7207,2000,7,10
7208,2000,50,20
7213,2000,15,7
7215,2000,2,2
7216,2000,3,1
7218,2000,94,32
7220,2000,32,2
7223,2000,34,33
7226,2000,24,10
7230,2000,20,0
7232,2000,28,4
7235,2000,3,0
7236,2000,2,1
7238,2000,9,6
7240,2000,2,6
7244,2000,9,1
7248,2000,7,25
7250,2000,8,2
7251,2000,23,14
7256,2000,8,27
7259,2000,32,10
7261,2000,25,5
7272,2000,6,1
7274,2000,41,3
7280,2000,39,6
7291,2000,13,1
7293,2000,12,1
7298,2000,60,15
7299,2000,10,0
7303,2000,20,6
7307,2000,26,1
7311,2000,6,1
7313,2000,67,24
7316,2000,6,5
7317,2000,16,3
7319,2000,25,12
7320,2000,23,8
7328,2000,11,5
7330,2000,18,2
7333,2000,12,6
7340,2000,23,4
7341,2000,19,3
7344,2000,13,3
7349,2000,10,7
7355,2000,50,23
7359,2000,4,16
7360,2000,11,10
8003,2000,8,1
8004,2000,8,12
8005,2000,23,5
8007,2000,33,5
8011,2000,37,0
8029,2000,22,3
8036,2000,8,1
8043,2000,6,6
8045,2000,13,0
8046,2000,24,11
8049,2000,2,8
8050,2000,27,0
8059,2000,6,3
8060,2000,6,0
8063,2000,5,0
8064,2000,8,2
8066,2000,2,4
8069,2000,8,1
8076,2000,9,3
8078,2000,8,9
8084,2000,11,7
8085,2000,56,8
8089,2000,19,1
8091,2000,18,7
8096,2000,5,1
8101,2000,37,0
8102,2000,45,31
8108,2000,16,0
8109,2000,2,1
8111,2000,7,1
8124,2000,38,7
8125,2000,9,6
8128,2000,2,0
8131,2000,11,2
8135,2000,8,9
8136,2000,6,1
8140,2000,9,2
8142,2000,2,0
8151,2000,12,2
8159,2000,22,16
8176,2000,4,0
8183,2000,48,3
8189,2000,27,3
8190,2000,37,3
8198,2000,14,0
8200,2000,3,1
8206,2000,5,1
8208,2000,29,28
8210,2000,15,5
8212,2000,5,2
8216,2000,5,6
8221,2000,6,11
8224,2000,13,3
8228,2000,12,3
8236,2000,16,3
8238,2000,18,1
8246,2000,12,4
8247,2000,20,0
8248,2000,11,0
8260,2000,20,6
8268,2000,37,2
8269,2000,19,1
8279,2000,31,3
8284,2000,3,0
8289,2000,25,1
8291,2000,10,0
8292,2000,20,10
8295,2000,30,10
8300,2000,20,3
8302,2000,13,5
8306,2000,12,4
8308,2000,5,3
8309,2000,14,0
8314,2000,3,1
8316,2000,8,6
8317,2000,9,4
8319,2000,9,2
8325,2000,26,0
8327,2000,28,3
8333,2000,29,1
8337,2000,4,2
9001,2000,10,6
9004,2000,6,4
9006,2000,30,19
9008,2000,13,5
9014,2000,32,3
9021,2000,15,4
9028,2000,7,0
9033,2000,14,7
9036,2000,33,1
9038,2000,9,6
9039,2000,8,5
9057,2000,13,1
9058,2000,48,14
9066,2000,34,4
9067,2000,3,0
9068,2000,47,0
9070,2000,1,0
9072,2000,4,1
9073,2000,32,5
9085,2000,13,0
9095,2000,7,1
9100,2000,15,0
9101,2000,5,13
9107,2000,43,1
9109,2000,2,1
9116,2000,12,3
9117,2000,8,1
9129,2000,32,8
9131,2000,10,7
9135,2000,2,0
9136,2000,7,1
9140,2000,22,2
9143,2000,38,1
9144,2000,36,8
9145,2000,27,22
9146,2000,25,3
9155,2000,21,2
9156,2000,15,4
9158,2000,11,9
9159,2000,10,3
9161,2000,21,4
9163,2000,8,4
9167,2000,6,0
9172,2000,15,2
9173,2000,26,9
9174,2000,1,10
9176,2000,5,1
9179,2000,21,0
9185,2000,4,1
9193,2000,6,2
9194,2000,3,0
9199,2000,10,2
9206,2000,11,2
9212,2000,24,15
9213,2000,1,0
9219,2000,11,0
9223,2000,9,3
9224,2000,10,2
9227,2000,5,0
9228,2000,40,0
9229,2000,20,0
9235,2000,13,2
9237,2000,8,12
9238,2000,9,0
9244,2000,11,11
9246,2000,3,7
9249,2000,8,1
9254,2000,19,27
9255,2000,25,34
9259,2000,3,1
9265,2000,9,6
9274,2000,6,0
9276,2000,5,1
9287,2000,24,2
9293,2000,41,0
9296,2000,11,0
9297,2000,28,5
9308,2000,6,2
9309,2000,12,3
9318,2000,14,0
9324,2000,41,4
9328,2000,12,8
9336,2000,3,11
9337,2000,29,40
9341,2000,9,3
9349,2000,4,0
9357,2000,31,10
9358,2000,22,4
10003,2000,12,35
10006,2000,11,0
10007,2000,41,2
10008,2000,48,10
10015,2000,11,11
10017,2000,13,22
10024,2000,20,3
10032,2000,8,2
10037,2000,5,4
10040,2000,11,2
10041,2000,7,1
10042,2000,18,2
10057,2000,0,5
10059,2000,10,2
10063,2000,13,2
10074,2000,2,1
10078,2000,2,0
10089,2000,0,9
10096,2000,12,6
10106,2000,33,1
10114,2000,8,8
10116,2000,8,6
10121,2000,3,3
10122,2000,5,0
10128,2000,8,6
10134,2000,3,1
10137,2000,18,2
10145,2000,3,1
10146,2000,7,6
10150,2000,20,6
10154,2000,16,1
10156,2000,14,3
10159,2000,13,4
10161,2000,13,2
10162,2000,14,3
10163,2000,14,4
10167,2000,4,1
10173,2000,12,0
10175,2000,79,19
10181,2000,33,7
10188,2000,12,1
10191,2000,37,3
10193,2000,9,1
10195,2000,5,8
10196,2000,10,7
10199,2000,12,3
10207,2000,11,5
10208,2000,71,6
10212,2000,9,13
10215,2000,28,1
10217,2000,7,2
10222,2000,2,4
10225,2000,9,1
10250,2000,6,0
10261,2000,22,8
10262,2000,14,1
10267,2000,11,5
10270,2000,14,0
10271,2000,12,0
10272,2000,27,0
10273,2000,25,4
10275,2000,34,2
10277,2000,16,3
10283,2000,14,2
10289,2000,7,20
10296,2000,17,12
10297,2000,18,7
10298,2000,9,1
10300,2000,4,0
10305,2000,4,1
10313,2000,5,0
10314,2000,14,0
10315,2000,6,5
10321,2000,16,10
10325,2000,40,10
10328,2000,53,1
10334,2000,18,12
10338,2000,83,34
10341,2000,5,0
10343,2000,6,4
10345,2000,4,8
10350,2000,10,1
11002,2000,18,13
11007,2000,14,0
11017,2000,20,2
11019,2000,22,1
11021,2000,7,1
11027,2000,22,2
11029,2000,4,1
11036,2000,7,2
11038,2000,10,0
11047,2000,3,1
11049,2000,24,7
11053,2000,6,5
11055,2000,78,22
11059,2000,14,5
11064,2000,10,1
11066,2000,7,0
11069,2000,22,1
11086,2000,7,7
11093,2000,15,0
11099,2000,4,1
11109,2000,8,0
11111,2000,15,2
11114,2000,23,3
11115,2000,2,0
11116,2000,14,1
11123,2000,4,0
11124,2000,6,0
11126,2000,2,0
11127,2000,2,1
11133,2000,2,2
11135,2000,15,1
11140,2000,18,0
11155,2000,8,3
11165,2000,7,5
11179,2000,15,11
11197,2000,3,1
11202,2000,6,1
11207,2000,9,0
11209,2000,11,2
11211,2000,14,0
11215,2000,48,54
11216,2000,7,2
11225,2000,12,1
11229,2000,16,6
11230,2000,4,3
11231,2000,6,0
11233,2000,25,4
11236,2000,11,0
11244,2000,46,2
11248,2000,37,10
11249,2000,5,0
11254,2000,22,15
11257,2000,20,6
11260,2000,15,9
11265,2000,5,0
11269,2000,3,4
11270,2000,27,9
11277,2000,12,2
11280,2000,15,0
11294,2000,4,0
11298,2000,30,1
11299,2000,27,6
11300,2000,23,1
11311,2000,17,16
11312,2000,5,0
11313,2000,18,3
11314,2000,20,10
11317,2000,20,1
11324,2000,7,2
11337,2000,24,4
11347,2000,2,1
11354,2000,15,0
11355,2000,43,4
11356,2000,51,12
11363,2000,13,19
11365,2000,12,1
11368,2000,10,2
11370,2000,16,4
11373,2000,7,6
11376,2000,2,2
11378,2000,17,0
11379,2000,11,11
11381,2000,4,0
11382,2000,7,2
11391,2000,2,1
11392,2000,29,3
11393,2000,14,15
11394,2000,45,6
11400,2000,1,1
12001,2000,9,18
12002,2000,11,5
12009,2000,4,0
12012,2000,16,1
12013,2000,9,3
12019,2000,17,7
12026,2000,62,5
12027,2000,4,0
12029,2000,1,0
12035,2000,5,5
12050,2000,7,1
12062,2000,28,9
12070,2000,4,1
12072,2000,1,2
12077,2000,10,3
12085,2000,28,6
12094,2000,5,1
12097,2000,13,5
12099,2000,3,6
12104,2000,10,1
12110,2000,11,1
12120,2000,19,6
12123,2000,23,3
12128,2000,12,2
12132,2000,13,0
12133,2000,3,0
12136,2000,24,15
12138,2000,14,5
12145,2000,14,9
12150,2000,4,1
12152,2000,16,12
12156,2000,46,4
12161,2000,11,2
12162,2000,21,2
12163,2000,2,0
12166,2000,5,0
12167,2000,21,17
12181,2000,5,0
12183,2000,6,1
12186,2000,6,0
12195,2000,10,0
12203,2000,22,0
12204,2000,9,6
12205,2000,13,2
12210,2000,3,0
12211,2000,29,1
12212,2000,19,5
12219,2000,18,5
12232,2000,14,19
12235,2000,7,4
12238,2000,0,5
12241,2000,8,9
12249,2000,30,0
12251,2000,8,0
12253,2000,6,2
12256,2000,3,1
12258,2000,9,0
12261,2000,10,5
12264,2000,26,1
12267,2000,15,3
12271,2000,16,12
12273,2000,5,1
12278,2000,34,9
12281,2000,8,0
12282,2000,4,2
12289,2000,6,10
12305,2000,15,1
12308,2000,19,40
12311,2000,11,3
12318,2000,23,2
12322,2000,8,0
12325,2000,7,1
12327,2000,3,0
12337,2000,16,5
12339,2000,1,0
12351,2000,12,17
12371,2000,16,7
12378,2000,7,4
12383,2000,6,2
101005,2000,12,1
101011,2000,3,1
101021,2001,2,0
101022,2001,3,5
101023,2001,7,2
101025,2001,28,10
101032,2001,17,18
101042,2001,34,13
101045,2001,18,3
101051,2001,11,18
101053,2001,3,4
101057,2001,28,3
101059,2001,16,1
101075,2001,3,2
101078,2001,7,2
101080,2001,20,1
101081,2001,37,1
101085,2001,8,7
101092,2001,27,5
101098,2001,14,4
101103,2001,50,7
101105,2001,58,3
101110,2001,14,4
101118,2001,19,9
101120,2001,14,0
101122,2001,12,3
101127,2001,30,13
101138,2001,3,0
101142,2001,18,3
101143,2001,18,1
101145,2001,23,3
101149,2001,5,1
101150,2001,9,3
101152,2001,8,2
101154,2001,28,3
101156,2001,1,0
101166,2001,7,1
101169,2001,7,0
101174,2001,15,1
101189,2001,21,0
101192,2001,34,6
101195,2001,29,0
101202,2001,9,0
101206,2001,21,0
101211,2001,2,1
101214,2001,4,0
101215,2001,18,4
101224,2001,134,14
101225,2001,29,12
101230,2001,69,10
101232,2001,3,5
101237,2001,10,1
101248,2001,20,2
101249,2001,62,10
101260,2001,28,5
101267,2001,8,2
101268,2001,7,0
101269,2001,10,7
101271,2001,6,0
101272,2001,21,2
101278,2001,18,2
101279,2001,4,4
101280,2001,10,2
101289,2001,6,1
101300,2001,44,4
101302,2001,8,3
101304,2001,11,12
101305,2001,32,20
101310,2001,4,0
101317,2001,7,0
101318,2001,4,4
101324,2001,15,3
101325,2001,8,5
101330,2001,6,0
101332,2001,26,1
101336,2001,267,26
101337,2001,13,1
101344,2001,37,0
101347,2001,18,5
101350,2001,24,4
101351,2001,24,5
101353,2001,11,0
102006,2001,10,0
102018,2001,27,1
102025,2001,8,3
102033,2001,8,4
102036,2001,21,2
102037,2001,42,2
102040,2001,7,0
102043,2001,36,0
102044,2001,12,1
102047,2001,34,30
102049,2001,5,0
102051,2001,37,4
102053,2001,22,2
102054,2001,2,1
102061,2001,12,2
102065,2001,6,0
102066,2001,5,0
102071,2001,14,7
102077,2001,10,10
102083,2001,10,4
102085,2001,6,7
102087,2001,36,1
102090,2001,16,7
102092,2001,1,0
102093,2001,45,20
102098,2001,25,23
102118,2001,13,0
102120,2001,9,0
102126,2001,8,0
102128,2001,27,9
102129,2001,2,0
102130,2001,7,2
102137,2001,14,3
102139,2001,6,1
102141,2001,2,2
102143,2001,4,4
102144,2001,15,3
102146,2001,7,29
102150,2001,6,0
102156,2001,39,4
102158,2001,2,1
102159,2001,48,2
102169,2001,12,2
102180,2001,14,4
102187,2001,4,5
102189,2001,3,2
102201,2001,18,11
102205,2001,24,0
102206,2001,4,6
102213,2001,20,4
102214,2001,2,0
102218,2001,26,4
102229,2001,10,3
102233,2001,5,1
102237,2001,10,5
102238,2001,14,6
102247,2001,7,6
102248,2001,14,0
102257,2001,29,20
102258,2001,11,0
102261,2001,9,1
102262,2001,20,0
102265,2001,5,8
102269,2001,26,4
102271,2001,8,1
102281,2001,14,5
102284,2001,7,1
102290,2001,6,1
102291,2001,19,10
102292,2001,37,3
102293,2001,2,0
102303,2001,15,8
102307,2001,7,4
102316,2001,9,2
102317,2001,10,7
102318,2001,9,3
102321,2001,28,8
102332,2001,5,5
102334,2001,17,1
102338,2001,6,4
103001,2001,15,7
103003,2001,9,2
103007,2001,18,4
103008,2001,31,5
103011,2001,28,3
103016,2001,2,0
103018,2001,4,2
103039,2001,12,2
103042,2001,13,4
103058,2001,17,2
103060,2001,20,2
103062,2001,8,7
103063,2001,8,10
103076,2001,12,0
103078,2001,8,2
103087,2001,10,11
103088,2001,17,18
103089,2001,6,5
103101,2001,2,2
103113,2001,20,5
103119,2001,13,7
103123,2001,25,8
103129,2001,2,0
103131,2001,4,2
103133,2001,15,5
103134,2001,17,0
103137,2001,11,3
103140,2001,13,2
103150,2001,3,0
103159,2001,2,1
103162,2001,6,3
103163,2001,3,5
103169,2001,66,6
103178,2001,10,3
103186,2001,8,0
103194,2001,6,6
103199,2001,21,17
103203,2001,12,0
103208,2001,14,9
103211,2001,33,11
103213,2001,14,2
103217,2001,26,9
103218,2001,22,4
103219,2001,6,2
103227,2001,29,0
103231,2001,8,2
103232,2001,52,0
103238,2001,7,1
103242,2001,5,3
103259,2001,24,3
103261,2001,8,3
103263,2001,18,6
103269,2001,12,3
103274,2001,15,12
103283,2001,1,0
103284,2001,30,0
103287,2001,3,3
103289,2001,8,4
103290,2001,6,2
103292,2001,18,1
103306,2001,7,1
103314,2001,4,7
103320,2001,34,19
103324,2001,55,13
103341,2001,9,2
103343,2001,11,10
104007,2001,4,0
104014,2001,2,1
104015,2001,3,0
104019,2001,9,3
104027,2001,56,9
104034,2001,30,27
104040,2001,28,3
104047,2001,19,15
104051,2001,13,3
104052,2001,12,10
104062,2001,36,29
104068,2001,14,3
104078,2001,9,0
104087,2001,14,2
104088,2001,16,3
104093,2001,8,0
104097,2001,16,13
104098,2001,14,0
104099,2001,21,2
104101,2001,34,5
104107,2001,7,1
104108,2001,24,8
104110,2001,55,40
104117,2001,13,4
104126,2001,23,16
104135,2001,24,8
104142,2001,17,1
104146,2001,26,10
104153,2001,12,2
104154,2001,6,8
104160,2001,11,0
104164,2001,1,3
104165,2001,0,1
104172,2001,17,0
104176,2001,5,2
104178,2001,18,4
104184,2001,18,1
104188,2001,4,0
104196,2001,5,0
104197,2001,22,1
104201,2001,6,1
104203,2001,3,2
104206,2001,10,0
104207,2001,7,0
104223,2001,1,0
104230,2001,15,5
104249,2001,18,0
104251,2001,38,0
104253,2001,3,3
104254,2001,10,5
104259,2001,27,8
104262,2001,9,5
104270,2001,15,0
104279,2001,19,2
104283,2001,102,17
104284,2001,27,9
104287,2001,33,1
104289,2001,14,4
104293,2001,7,7
104299,2001,2,0
104304,2001,11,15
104306,2001,4,2
104312,2001,12,7
105008,2001,57,15
105009,2001,18,11
105011,2001,58,14
105022,2001,7,1
105024,2001,15,0
105028,2001,42,4
105030,2001,17,1
105037,2001,17,6
105040,2001,25,0
105058,2001,13,1
105059,2001,7,0
105063,2001,10,2
105066,2001,7,3
105069,2001,1,1
105077,2001,29,1
105078,2001,10,1
105079,2001,8,4
105084,2001,9,5
105096,2001,19,22
105097,2001,10,1
105103,2001,22,4
105105,2001,5,4
105106,2001,7,0
105108,2001,13,4
105119,2001,4,1
105141,2001,16,6
105145,2001,14,14
105148,2001,16,5
105154,2001,6,1
105155,2001,95,13
105156,2001,6,3
105157,2001,9,3
105160,2001,27,6
105167,2001,36,0
105170,2001,13,1
105173,2001,23,2
105174,2001,24,4
105179,2001,8,2
105188,2001,9,11
105190,2001,27,3
105193,2001,3,0
105197,2001,3,7
105200,2001,37,10
105205,2001,25,6
105207,2001,5,3
105210,2001,15,0
105217,2001,27,5
105224,2001,25,4
105225,2001,6,2
105229,2001,0,5
105232,2001,2,0
105238,2001,5,0
105240,2001,29,0
105242,2001,8,3
105245,2001,5,0
105255,2001,43,0
105260,2001,25,5
105263,2001,3,1
105267,2001,9,15
105268,2001,12,9
105272,2001,8,0
105273,2001,11,3
105277,2001,10,1
105283,2001,11,9
105292,2001,34,9
105295,2001,40,6
105296,2001,12,3
105304,2001,39,9
105306,2001,31,5
105308,2001,3,5
105311,2001,9,5
105316,2001,5,0
105323,2001,15,4
105325,2001,14,3
105332,2001,4,1
105333,2001,8,0
105338,2001,9,2
105343,2001,17,0
106004,2001,25,3
106008,2001,11,0
106012,2001,81,26
106023,2001,11,3
106025,2001,13,18
106026,2001,3,2
106029,2001,20,14
106031,2001,6,4
106034,2001,24,6
106037,2001,29,5
106044,2001,10,3
106053,2001,25,1
106055,2001,10,5
106057,2001,48,2
106067,2001,19,22
106073,2001,6,0
106081,2001,20,21
106085,2001,16,1
106094,2001,9,3
106096,2001,16,2
106104,2001,27,1
106105,2001,7,1
106106,2001,9,1
106109,2001,2,0
106110,2001,17,6
106112,2001,27,8
106116,2001,35,10
106124,2001,19,9
106130,2001,2,4
106135,2001,33,11
106137,2001,3,1
106138,2001,10,0
106152,2001,31,0
106156,2001,4,2
106170,2001,8,0
106174,2001,4,0
106177,2001,28,0
106178,2001,13,1
106181,2001,17,3
106184,2001,13,7
106192,2001,11,0
106203,2001,9,5
